date,method,target,products,period,time_start,time_end,status,status_text,area_name,zone_code,region,boundary_text,area_sq_km,centroid_lat,centroid_lon,map_url,map_id,observed_via,first_seen
2020-05-04,ground,adult,Evergreen 5-25,morning,05:00,07:00,complete,COMPLETE,Rural East Escalon,E37,Escalon,"North to 1/2 mile north of Owens Rd, South to 1/2 mile south of Owens Rd., East to Steinigal Rd., West Campbell Rd.",2.7523,37.803981,-120.969599,https://www.google.com/maps/d/viewer?mid=1JTr-aBsn6z3UNY1ehKfshesRVV5lWRPH,1JTr-aBsn6z3UNY1ehKfshesRVV5lWRPH,wayback:20210511100406,2026-07-27T10:51:20Z
2020-05-04,ground,adult,Evergreen 5-25,morning,05:00,07:00,complete,COMPLETE,Rural North Escalon,E36,Escalon,"Rural North Escalon, North to Edwards Ave., South to Lone Tree, East to Campbell Rd., West to Droge Rd.",3.5894,37.835033,-120.991499,https://www.google.com/maps/d/viewer?mid=1crzTYx-DRX66jxyCy0MuG7e8aCeWl5xK,1crzTYx-DRX66jxyCy0MuG7e8aCeWl5xK,wayback:20210511100406,2026-07-27T10:51:20Z
2020-06-25,aerial,adult,Dibrom,evening,20:30,22:30,complete,COMPLETE,Rural South County- South of Manteca and West of Ripon to San Joaquin County Line: See Map,SC7,South County,,25.5735,37.698811,-121.205986,https://www.google.com/maps/d/viewer?mid=1eT2bb3UMgtKD5jYJ_ufl1laRSlIP__Mg,1eT2bb3UMgtKD5jYJ_ufl1laRSlIP__Mg,wayback:20200814043508,2026-07-27T10:51:15Z
2020-06-30,aerial,adult,Dibrom,evening,20:45,22:30,complete,COMPLETE,Rural Northeast Escalon,E25,Escalon,"North to Carter Rd., South to Lone Tree Rd., East to Victory Ave /County line, West to Steinegul Rd.",23.1396,37.857031,-120.943496,https://www.google.com/maps/d/viewer?mid=11soOcxIzHKP0ENESAyYxwah8W1s94pum,11soOcxIzHKP0ENESAyYxwah8W1s94pum,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-02,ground,adult,Evergreen 5-25,evening,20:30,22:30,complete,COMPLETE,Ripon Sewer Plant,R2,Ripon,"North to Doak Rd., South to Stanislaus County Line, East to Stockton Ave., West to Robert Ave.",0.7947,37.726509,-121.130382,https://www.google.com/maps/d/viewer?mid=1UVI-M5eTIEkrLZvrJx2Qwxb6K_VYNYkN,1UVI-M5eTIEkrLZvrJx2Qwxb6K_VYNYkN,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-02,ground,adult,DeltaGard,morning,05:00,07:00,complete,COMPLETE,Rural North Acampo,L9,Lodi,"North to Liberty Rd., South to E. Spiess Rd., East to Hwy 99, West to N. Lower Sacramento Rd.",0.8753,38.23405,-121.292407,https://www.google.com/maps/d/viewer?mid=1XmqP3iQmEg6GmbNjv5mXEzI2qEMvsQp3,1XmqP3iQmEg6GmbNjv5mXEzI2qEMvsQp3,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-09,ground,adult,Evergreen 5-25; DeltaGard,evening,20:30,22:30,complete,COMPLETE,Rural Northeast Escalon,E26,Escalon,"North to Carter Rd., South to OID canal, East to SJ County Line, West to S. Henry Rd.",9.8713,37.860062,-120.934623,https://www.google.com/maps/d/viewer?mid=1JcVNtMHV44iDt3_z1H_diKh1dKCSlp5S,1JcVNtMHV44iDt3_z1H_diKh1dKCSlp5S,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-12,aerial,adult,Dibrom,evening,20:30,23:30,complete,COMPLETE,"Portion of the following Tracts: Brack, Canal Ranch and New Hope",D1,Delta,,31.9591,38.171959,-121.461131,https://www.google.com/maps/d/viewer?mid=1AK7AxtKyqOIUHDQG_gL2iy_a0oIq7gOZ,1AK7AxtKyqOIUHDQG_gL2iy_a0oIq7gOZ,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-12,aerial,adult,Dibrom,evening,20:30,23:30,complete,COMPLETE,"Portions of the following Tracts: Wright, Shima, Rindge & Lower Roberts Island",D7B,Delta,,20.4011,38.003259,-121.391291,https://www.google.com/maps/d/viewer?mid=1ccSX4vBCCMFm_6LL1T7DlGTAKgUdQuHR,1ccSX4vBCCMFm_6LL1T7DlGTAKgUdQuHR,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-14,ground,larval,VectoBac WDG,morning,04:00,05:00,complete,COMPLETE,Portion of Southwest Stockton Brookside area,S14,Stockton,"North to Greenbelt area, South to Brookside Rd., West to Brookside Rd., East to Feather River Dr.",0.3284,37.978098,-121.347681,https://www.google.com/maps/d/viewer?mid=1HHSdt7nEi2msZJtKClNUO3eCmHZAk4Vn,1HHSdt7nEi2msZJtKClNUO3eCmHZAk4Vn,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-16,ground,adult,Evergreen 5-25,evening,20:30,22:30,complete,COMPLETE,Rural East Ripon,R5b,Ripon,"North to East River Rd., South to Stanislaus River, East to Sexton Rd., West to Murphy Rd.",14.5451,37.749809,-121.079451,https://www.google.com/maps/d/viewer?mid=1a_FqzNZDHOF58m_Vj9wSa4lSmnXmQCQ8,1a_FqzNZDHOF58m_Vj9wSa4lSmnXmQCQ8,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-16,aerial,adult,Dibrom,evening,20:30,22:30,complete,COMPLETE,Rural Northeast Escalon,E27,Escalon,"North to Dodds Rd., South to Hwy 120, East to Victory Ave., West to Steinegul Rd.",23.4443,37.82539,-120.942471,https://www.google.com/maps/d/viewer?mid=12hTw4KyKA0PkHL7yzuLrDvteJSF5rLED,12hTw4KyKA0PkHL7yzuLrDvteJSF5rLED,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-16,ground,adult,Evergreen 5-25,evening,20:30,22:30,complete,COMPLETE,Rural West Ripon,R4,Ripon,"North to W. Ripon Rd., South to E. Moncure Rd., East to Mohler Rd., West to S. Frederick Ave.",2.7187,37.729826,-121.158765,https://www.google.com/maps/d/viewer?mid=1Y4haE-Hzh0zbo0vuMQcp_IZNEo6LF-xU,1Y4haE-Hzh0zbo0vuMQcp_IZNEo6LF-xU,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-17,ground,adult,DeltaGard,morning,04:30,06:00,complete,COMPLETE,Eastern Portion of the City of Escalon,E2,Escalon,"North to California St., South to Vine Ave., East to Brook St., West to Main St.",0.722,37.793479,-120.986348,https://www.google.com/maps/d/viewer?mid=1dAECfkRz_7jwCBY8gbsz0rdNKdXfvz0b,1dAECfkRz_7jwCBY8gbsz0rdNKdXfvz0b,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-17,ground,adult,DeltaGard,morning,04:30,06:00,complete,COMPLETE,Portion of Southwest Manteca,M8,Manteca,"North to W. Woodward Rd., South to 1/2 mile south of Woodward Rd, East to 1/4 mile East of McKinley Rd., West to Mc Kinley Rd. (ADDED 7/16/2020)",0.3343,37.771996,-121.268173,https://www.google.com/maps/d/viewer?mid=12dKcaGWPj5H45k7PDdQ5Gj2TnHhzingg,12dKcaGWPj5H45k7PDdQ5Gj2TnHhzingg,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-23,ground,adult,Evergreen 5-25; DeltaGard,evening,20:30,22:30,complete,COMPLETE,A Portion of Rural South County,SC1,South County,"North to one mile north of E. McMullin Rd., South to Perrin Rd., East to Airport Way, West to S. Hays Rd.",4.7947,37.735918,-121.263435,https://www.google.com/maps/d/viewer?mid=1dcvrXM7RFuFpl8saR2Bwl08cXfA3CU-C,1dcvrXM7RFuFpl8saR2Bwl08cXfA3CU-C,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-23,ground,adult,Evergreen 5-25; DeltaGard,evening,20:30,22:30,complete,COMPLETE,Delta - West Portion of Brack Tract,D13,Delta,,18.5103,38.155635,-121.463993,https://www.google.com/maps/d/viewer?mid=1oAMKT4KEYM7ymgN0HY955SXABt5Iy6eu,1oAMKT4KEYM7ymgN0HY955SXABt5Iy6eu,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-23,ground,adult,Evergreen 5-25; DeltaGard,evening,20:30,22:30,complete,COMPLETE,DeltaWright / Elmwood Tract,D12,Delta,-,8.6345,37.9957,-121.384856,https://www.google.com/maps/d/viewer?mid=11vvIxM7pP2tdGwJBH9n2sT4_KB-vzi7G,11vvIxM7pP2tdGwJBH9n2sT4_KB-vzi7G,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-23,aerial,adult,Dibrom,evening,20:30,22:30,cancelled,COMPLETED - CANCELED,Portion of Rural South County,SC7,South County,South of Manteca and West Of Ripon to San Joaquin County Line,25.5735,37.698811,-121.205986,https://www.google.com/maps/d/viewer?mid=1eT2bb3UMgtKD5jYJ_ufl1laRSlIP__Mg,1eT2bb3UMgtKD5jYJ_ufl1laRSlIP__Mg,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-23,aerial,adult,Dibrom,evening,20:30,22:30,cancelled,CANCELED,Rural Northeast Escalon,E27,Escalon,"North to Dodds Rd., South to Hwy 120, East to Victory Ave., West to Steinegul Rd.",23.4443,37.82539,-120.942471,https://www.google.com/maps/d/viewer?mid=12hTw4KyKA0PkHL7yzuLrDvteJSF5rLED,12hTw4KyKA0PkHL7yzuLrDvteJSF5rLED,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-27,ground,adult,Evergreen 5-25,evening,20:15,22:00,complete,COMPLETE,A Portion of Rural Northeast Escalon,E28,Escalon,"North to Dodds Rd., South to Lone Tree Rd., East to Cometa Rd. & Victory Ave., West to Steinegul Rd.",9.2955,37.840431,-120.945817,https://www.google.com/maps/d/viewer?mid=1nDhGBwsH_MYTdpCfV129HsPT2uvItk7b,1nDhGBwsH_MYTdpCfV129HsPT2uvItk7b,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-27,ground,adult,Evergreen 5-25,evening,20:15,22:00,complete,COMPLETE,Rural West Ripon,R4,Ripon,"North to W. Ripon Rd., South to E. Moncure Rd., East to Mohler Rd., West to S. Frederick Ave.",2.7187,37.729826,-121.158765,https://www.google.com/maps/d/viewer?mid=1Y4haE-Hzh0zbo0vuMQcp_IZNEo6LF-xU,1Y4haE-Hzh0zbo0vuMQcp_IZNEo6LF-xU,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-30,ground,adult,Evergreen 5-25,evening,20:15,22:00,complete,COMPLETE,A Portion of Rural East Escalon,E29,Escalon,"North to OID Canal, South to Hwy 120, East to Victory Ave., West to Henry Rd.",3.7529,37.803345,-120.932621,https://www.google.com/maps/d/viewer?mid=1YdE4wGmIItr1fDrb1unsnlFVmpL_Tx5f,1YdE4wGmIItr1fDrb1unsnlFVmpL_Tx5f,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-30,ground,adult,DeltaGard,morning,05:00,07:00,complete,COMPLETE,A portion of Rural North Tracy,T19,Tracy,"North to Bethany Rd., South to Larch Rd., East to Corral Hollow Rd., West to Lammers Rd.",3.698,37.773089,-121.465235,https://www.google.com/maps/d/viewer?mid=1PPsU-zU4E7o38jewej01KJENgcDijqOW,1PPsU-zU4E7o38jewej01KJENgcDijqOW,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-30,aerial,adult,Dibrom,evening,20:15,22:30,complete,COMPLETE,Delta Islands,D14,Delta,"Portions of Brack Tract, Terminous Tract, and Empire Tract",42.3253,38.114859,-121.466947,https://www.google.com/maps/d/viewer?mid=1CM0QIkUKKvykwZ_rnzU3pVb_JJ8EqPJo,1CM0QIkUKKvykwZ_rnzU3pVb_JJ8EqPJo,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-30,aerial,adult,Dibrom,evening,20:15,22:30,complete,COMPLETE,Delta Islands,D2,Delta,"Portions of Shima Tract, Rindge Tract, Wright Tract, Lower Roberts Island",18.0124,38.001048,-121.394973,https://www.google.com/maps/d/viewer?mid=1heJJ35n0Ncl7mExjNCOLOt_OdLoFKLgy,1heJJ35n0Ncl7mExjNCOLOt_OdLoFKLgy,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-30,ground,adult,Evergreen 5-25,evening,20:15,22:00,complete,COMPLETE,Portion Of Rural East South County,SC3,South County,"North to Division Rd., South to San Joaquin and Stanislaus Rivers, East to Stanislaus River, West to Two Rivers Rd",3.7968,37.677092,-121.228648,https://www.google.com/maps/d/viewer?mid=1zR43QiilWe_TRZveFZagCaWv3wJJuHY1,1zR43QiilWe_TRZveFZagCaWv3wJJuHY1,wayback:20200814043508,2026-07-27T10:51:15Z
2020-07-30,ground,adult,Evergreen 5-25,evening,20:15,22:00,complete,COMPLETE,Portion of Rural North Escalon,E30,Escalon,"North to Dove Rd., South to Lone Tree Rd., East to Campbell Rd., West to Escalon Bellota Rd.",4.1599,37.83841,-120.988868,https://www.google.com/maps/d/viewer?mid=12rjOlHFtjMkuictI7DSJzQio0uk6nz5w,12rjOlHFtjMkuictI7DSJzQio0uk6nz5w,wayback:20200814043508,2026-07-27T10:51:15Z
2020-08-06,ground,adult,Evergreen 5-25; DeltaGard,evening,20:10,22:00,complete,COMPLETE,A Portion of Rural East Ripon,R6,Ripon,"North to East River Rd., South to Stanislaus River, East to Sexton Rd., West to Wagner Rd.",8.2511,37.749998,-121.062134,https://www.google.com/maps/d/viewer?mid=1YL9H_Hvsk8cDWeuU1zLV1nZCaWJG3bh-,1YL9H_Hvsk8cDWeuU1zLV1nZCaWJG3bh-,wayback:20200814043508,2026-07-27T10:51:15Z
2020-08-06,ground,adult,Evergreen 5-25; DeltaGard,evening,20:10,22:00,complete,COMPLETE,Portion of Rural North Escalon,E5,Escalon,"North to one mile north of Lone Tree Rd., South to one mile south of Lone Tree Rd., East to Campbell Rd., West to Brennan Rd.",5.4748,37.827268,-120.997575,https://www.google.com/maps/d/viewer?mid=1XVnBm2Y8vjApBUoMFBHcxv1Y7wKvZZ46,1XVnBm2Y8vjApBUoMFBHcxv1Y7wKvZZ46,wayback:20200814043508,2026-07-27T10:51:15Z
2020-08-06,ground,adult,Evergreen 5-25; DeltaGard,evening,20:10,22:00,complete,COMPLETE,Portion of Rural South Escalon,E9,Escalon,"North to Jones Rd., South to Stanislaus River, East to McHenry Ave., West to Brennan Rd.",3.5805,37.762971,-121.005503,https://www.google.com/maps/d/viewer?mid=1GyYAz3A_1FoOvpTInNSL_E0tBwsWQ2_2,1GyYAz3A_1FoOvpTInNSL_E0tBwsWQ2_2,wayback:20200814043508,2026-07-27T10:51:15Z
2020-08-08,aerial,adult,Dibrom,evening,20:15,23:00,complete,COMPLETE,"Delta Islands- portion of the following tracts: Brack, Canal Ranch and Terminous",D4(b),Delta,,18.4193,38.152114,-121.464831,https://www.google.com/maps/d/viewer?mid=1w4m0HR6_JrxOswRP87KSFQ6pt7llvfG7,1w4m0HR6_JrxOswRP87KSFQ6pt7llvfG7,wayback:20200814043508,2026-07-27T10:51:15Z
2020-08-13,aerial,adult,Dibrom,evening,20:15,23:00,complete,COMPLETE,A Portion of Rural West Ripon,R1B,Ripon,,18.9907,37.6978,-121.202335,https://www.google.com/maps/d/viewer?mid=10QTPiLg-VmCpFCLW34UsEjV9K_6zsibf,10QTPiLg-VmCpFCLW34UsEjV9K_6zsibf,wayback:20200814043508,2026-07-27T10:51:15Z
2020-08-13,aerial,adult,Dibrom,evening,20:15,23:00,complete,COMPLETE,"Delta Islands- portion of the following tracts: Brack, Canal Ranch and Terminous",D4(b),Delta,,18.4193,38.152114,-121.464831,https://www.google.com/maps/d/viewer?mid=1w4m0HR6_JrxOswRP87KSFQ6pt7llvfG7,1w4m0HR6_JrxOswRP87KSFQ6pt7llvfG7,wayback:20200814043508,2026-07-27T10:51:15Z
2020-08-13,aerial,adult,Dibrom,evening,20:15,23:00,complete,COMPLETE,Rural South Escalon,E31,Escalon,"North to Greenleaf Rd. and East River Rd., South to Stanislaus River, East to Henry Rd., West to Sexton Rd.",9.8994,37.756472,-120.97982,https://www.google.com/maps/d/viewer?mid=1g3_UCd6tLmdXxw2_cYkmELfRSbwqM9t8,1g3_UCd6tLmdXxw2_cYkmELfRSbwqM9t8,wayback:20200814043508,2026-07-27T10:51:15Z
2020-08-14,ground,adult,Evergreen 5-25; DeltaGard,morning,04:00,07:00,complete,COMPLETE,A Portion of Rural North Escalon,E5,Escalon,"North to one mile north of Lone Tree Rd., South to one mile south of Lone Tree Rd., East to Campbell Rd., West to Brennan Rd.",5.4748,37.827268,-120.997575,https://www.google.com/maps/d/viewer?mid=1XVnBm2Y8vjApBUoMFBHcxv1Y7wKvZZ46,1XVnBm2Y8vjApBUoMFBHcxv1Y7wKvZZ46,wayback:20200814043508,2026-07-27T10:51:15Z
2020-08-14,ground,adult,Evergreen 5-25; DeltaGard,morning,04:00,07:00,complete,COMPLETE,A Portion of Rural Northeast Escalon,E28,Escalon,"North to Dodds Rd., South to Lone Tree Rd., East to Cometa Rd. & Victory Ave., West to Steinegul Rd.",9.2955,37.840431,-120.945817,https://www.google.com/maps/d/viewer?mid=1nDhGBwsH_MYTdpCfV129HsPT2uvItk7b,1nDhGBwsH_MYTdpCfV129HsPT2uvItk7b,wayback:20200814043508,2026-07-27T10:51:15Z
2020-08-14,ground,adult,Evergreen 5-25; DeltaGard,morning,04:00,07:00,complete,COMPLETE,A Portion of Rural South Farmington,E17,Escalon,"North to Little John Creek, South to 1/2 mile south of Skiff Rd., East to Biederman Way, West to Van Allen Rd.",4.8014,37.872198,-121.041213,https://www.google.com/maps/d/viewer?mid=172FaIzWOcywpL8lfe7mjJ8vcPlNupL9U,172FaIzWOcywpL8lfe7mjJ8vcPlNupL9U,wayback:20200814043508,2026-07-27T10:51:15Z
2020-08-14,ground,adult,Evergreen 5-25; DeltaGard,morning,04:00,07:00,complete,COMPLETE,Delta IslandsWright / Elmwood Tract,D12,Delta,-,8.6345,37.9957,-121.384856,https://www.google.com/maps/d/viewer?mid=11vvIxM7pP2tdGwJBH9n2sT4_KB-vzi7G,11vvIxM7pP2tdGwJBH9n2sT4_KB-vzi7G,wayback:20200814043508,2026-07-27T10:51:15Z
2020-08-14,ground,adult,Evergreen 5-25; DeltaGard,morning,04:00,07:00,complete,COMPLETE,Rural East Lodi,L3,Lodi,"North to E. Sargent Rd., South to E. Harney Ln., East to one mile east of Tully Rd., West to Tully Rd.",5.6911,38.117387,-121.123846,https://www.google.com/maps/d/viewer?mid=1CcmBWbKNLi71Ywn0Ll8_JToDyRF1e86i,1CcmBWbKNLi71Ywn0Ll8_JToDyRF1e86i,wayback:20200814043508,2026-07-27T10:51:15Z
